"sigma_P_level","sigma_P","W_steps","sd_pbar_mean","sd_pbar_se","total_naive_mean","total_naive_se","total_adjusted_mean","total_adjusted_se","spurious_naive_mean","spurious_naive_se","spurious_adjusted_mean","spurious_adjusted_se","gs_naive_mean","gs_naive_se","gs_adjusted_mean","gs_adjusted_se","mae_naive_all_mean","mae_naive_all_se","mae_adjusted_all_mean","mae_adjusted_all_se","mae_naive_true_zero_mean","mae_naive_true_zero_se","mae_adjusted_true_zero_mean","mae_adjusted_true_zero_se","n_phantom_naive_gt_01_mean","n_phantom_naive_gt_01_se","n_phantom_adjusted_gt_01_mean","n_phantom_adjusted_gt_01_se","W_over_tauP","gap_total","gap_spurious","gap_gs","gap_mae_true_zero"
"high",0.65,1,1.03889503470511,0.00322689317647081,13.5485084263363,0.11338965737587,3.20700245639787,0.263190065853999,7.18163615313052,0.186364301535973,2.54715861782384,0.220101728478886,13.6384642118905,0.127306309066302,5.87496050749677,0.337548837198975,0.294199642974209,0.00353040318724709,0.10179278729708,0.0042781972261352,0.276216775120404,0.00716785775138357,0.0979676391470707,0.00846545109534176,23.2,0.66332495807108,10.8,1.113552872566,0.004,10.3415059699384,4.63447753530668,7.76350370439375,0.178249135973334
"high",0.65,25,1.01450830863982,0.00671758612136433,13.340743237205,0.0728600775811127,3.0759161620232,0.304792870746115,7.58961229596519,0.108249726877997,2.89979333741015,0.114618345048488,13.5957383007902,0.108311229788928,5.83532478483532,0.284253297273465,0.293497800491672,0.00348306523114335,0.110970709146747,0.00385984492439428,0.29190816522943,0.0041634510337691,0.111530512977313,0.00440839788648031,23.4,0.244948974278318,12,0.707106781186548,0.1,10.2648270751818,4.68981895855504,7.76041351595486,0.180377652252117
"high",0.65,100,0.97533465284925,0.00410567670456669,12.784476843068,0.151070083323487,2.69866776960897,0.203673036026954,7.19723392906894,0.151276178300053,2.94916225150876,0.140052770676355,13.0745425175602,0.158163548698466,5.81251545775862,0.21913554671964,0.278459514376673,0.00439343190829073,0.108162416387068,0.00337805287483824,0.276816689579575,0.00581831455000203,0.113429317365721,0.00538664502601365,24.4,0.812403840463596,13,1.14017542509914,0.4,10.085809073459,4.24807167756018,7.2620270598016,0.163387372213853
"high",0.65,250,0.87803387381726,0.00397873993783635,11.672937880227,0.302967047710263,2.9363470786339,0.298187364702316,6.53902453357004,0.203108771175411,2.75279389444004,0.209073046279262,11.9460519340077,0.260005864700971,5.5901121404095,0.186189545698717,0.249836041050339,0.00683257051255434,0.108498738087033,0.00637930932674147,0.251500943598848,0.00781187581443887,0.105876688247694,0.00804127101074084,22.4,0.678232998312527,11.4,1.43527000944073,1,8.73659080159306,3.78623063912999,6.35593979359819,0.145624255351154
"high",0.65,500,0.770533247371167,0.00384749625955512,10.9760431736923,0.0685721509985923,3.45030051088654,0.173842724076743,6.06663844899844,0.0979253490899133,2.98468743635766,0.209201950710901,11.2565370745693,0.20434532833336,5.90784492263419,0.329479306637752,0.230077563041778,0.00659784298251816,0.109546863299028,0.0100262254488845,0.233332248038402,0.00376635958038129,0.114795670629141,0.00804622887349619,21.8,0.374165738677394,11,1.14017542509914,2,7.52574266280579,3.08195101264078,5.34869215193509,0.118536577409261
"high",0.65,1000,0.634598798343833,0.00221161377242444,8.80198056519409,0.159764542756881,2.98520824824854,0.211449923475089,4.60122762886837,0.228764340395018,2.67756357468783,0.247324952928389,9.44298736970472,0.0743274556246269,5.85295623177761,0.333811190227881,0.183620508664478,0.00514462146921446,0.103108225600573,0.0105140385144884,0.176970293418014,0.00879862847673145,0.10298321441107,0.0095124981895534,18.8,0.8,10,1.37840487520902,4,5.81677231694555,1.92366405418054,3.59003113792711,0.0739870790069439
"high",0.65,2500,0.436097417736818,0.00300020895515916,6.49727109810179,0.220629041950087,2.88946055249455,0.251537485597126,3.47430074630785,0.100909907237938,2.81111944314916,0.154181904160363,7.6995525983514,0.151601910821535,6.0205865242877,0.194750129202384,0.134130755197623,0.00259370264915098,0.104783454622964,0.00356805568508494,0.133626951781071,0.00388115027838222,0.10811997858266,0.00593007323693704,14.6,0.871779788708135,12.2,0.860232526704263,10,3.60781054560723,0.663181303158688,1.6789660740637,0.0255069731984111
"high",0.65,5000,0.316426329581309,0.00329751203265475,5.31154089108305,0.159207928894982,3.30008945468036,0.234260696469501,3.23023806252223,0.207318548440822,2.96657476567257,0.214678179807975,6.90124643430453,0.24805598735416,6.04819046402102,0.266219921030473,0.11804966065573,0.0037871899045067,0.105948452183359,0.003196796698123,0.124239925481624,0.007973790324647,0.114099029448945,0.00825685306953751,13.4,1.36381816969859,12.4,1.20830459735946,20,2.01145143640269,0.263663296849661,0.853055970283505,0.0101408960326793
"low",0.04,1,0.0631468845868655,0.000558743950478144,3.53728397552409,0.190307765033512,3.43725425821855,0.184316046050912,2.97807346581274,0.249362668751624,2.97334704625438,0.237366532458026,6.31280546732134,0.31953820159796,6.27935896454452,0.311182920214297,0.10766747110006,0.00757387278243185,0.107422197990831,0.00709308959167115,0.114541287146644,0.00959087187506246,0.114359501779014,0.00912948201761639,12,0.547722557505166,12.4,0.6,0.004,0.100029717305538,0.00472641955836162,0.0334465027768216,0.000181785367629292
"low",0.04,25,0.0617041980773787,0.000300391563359757,2.43703975780884,0.197566939775609,2.35449099858686,0.203905783966667,2.68693776251154,0.107699949911478,2.69848830520248,0.100669285095494,5.6771697461631,0.274344349146425,5.66957199939224,0.267227636930814,0.10396576834946,0.0048960768627583,0.104581079917736,0.00462501959809037,0.103343760096598,0.00414230576582608,0.103788011738557,0.00387189558059594,10.4,0.979795897113271,10.2,1.113552872566,0.1,0.0825487592219756,-0.0115505426909466,0.007597746770867,-0.000444251641959478
