"sdP","net_diff_raw_mean","net_diff_raw_se","net_diff_adj_mean","net_diff_adj_se","gs_raw_lo_mean","gs_raw_lo_se","gs_raw_hi_mean","gs_raw_hi_se","gs_adj_lo_mean","gs_adj_lo_se","gs_adj_hi_mean","gs_adj_hi_se","mae_raw_lo_mean","mae_raw_lo_se","mae_raw_hi_mean","mae_raw_hi_se","mae_adj_lo_mean","mae_adj_lo_se","mae_adj_hi_mean","mae_adj_hi_se","true_gs_mean","true_gs_se","m_low_mean","m_low_se","m_high_mean","m_high_se"
0,0.00306268912845314,0.000798993582669289,0.00306268912845314,0.000798993582669289,12.1583099622201,0.12350732303503,11.0647297634947,0.123831303630269,12.1583099622201,0.12350732303503,11.0647297634947,0.123831303630269,0.109974459977673,0.0011611078650273,0.0828978292774387,0.000867563379343789,0.109974459977673,0.0011611078650273,0.0828978292774387,0.000867563379343789,8.21584779660598,0.103198226641573,0.208936944444444,0.00335094867231026,0.660155,0.00548169057409027
0.1,0.00339980512071988,0.00107028504205669,0.00361242255492999,0.00108334931073938,12.5313224818203,0.0902800178227222,11.3856335184159,0.134505065993252,12.1684481232513,0.0905792189581961,11.0293437689809,0.130596639147523,0.111640825619357,0.00118180002967127,0.083435603449263,0.00085798795027391,0.111305272962304,0.00113672639453842,0.083161909484143,0.00084588484256554,8.21584779660598,0.103198226641573,0.209873055555556,0.003113403698117,0.658800555555556,0.00525739293959118
0.3,0.00446304363614624,0.00114746748102528,0.00291458631681693,0.000729538128075716,15.35757455736,0.138605023893567,14.3105468445143,0.140629987984995,12.2269363142165,0.112582785737179,11.0618867272558,0.133586804343731,0.127949964596501,0.00140715989717849,0.105902617587658,0.000985793234234995,0.108892954762575,0.00117611750761685,0.0833376595396686,0.000521914728632637,8.21584779660598,0.103198226641573,0.219259722222222,0.00308213004131298,0.650868055555556,0.00520313976860567
0.5,0.0139105007775726,0.00103893851189839,0.00393967010253767,0.000952284586141002,19.3379732474028,0.111354985749479,18.1762083725642,0.122186915048805,12.0872696444038,0.0893073310398556,11.2377726843623,0.123872811587936,0.175092422639245,0.00194244636804313,0.155864118110043,0.00155903121869739,0.105227348772717,0.000966687304178038,0.0887458142008182,0.000969721194815765,8.21584779660598,0.103198226641573,0.235899444444445,0.00308470486679466,0.637882222222222,0.00484589005359424
0.75,0.0142383838440491,0.00111940749464103,0.00250840683808309,0.000486158646515526,23.1842244896251,0.116729937084536,22.1192635493494,0.146405966657385,12.1649079342241,0.0863432507435391,11.4617573638986,0.118614812487452,0.229407638306591,0.0020727846770248,0.212818017385338,0.00223613711593454,0.108021895489163,0.00114171968621205,0.0954212506610386,0.00107521992514108,8.21584779660598,0.103198226641573,0.259286388888889,0.00298352030732341,0.622421111111111,0.00403358757658708
1,0.0123353300727076,0.000793204663008658,0.00205189914608433,0.000556376785561241,25.8654826494288,0.109056730234988,25.0145716405631,0.124747164780923,12.1210348710276,0.108127432110336,11.6784657518988,0.113135237898897,0.269001229358616,0.00204760487166447,0.255671600789357,0.00186689302265137,0.110000125384947,0.000527169817660306,0.10079775612269,0.000806427663870217,8.21584779660598,0.103198226641573,0.284041388888889,0.00307469921828491,0.607938055555556,0.0037668739256591
