"rep","diff_total_coupling","diff_spurious_abs_coupling","diff_global_strength","diff_mae_all","diff_mae_true_zero","diff_mae_true_nonzero","diff_phantom"
1,2.11066889250093,0.653235145798777,1.28541943621893,0.0280863419751061,0.0251244286845684,0.0357873165305044,5
2,2.45730788244952,0.900340980083412,1.63270648951548,0.0286061887267859,0.0346284992339774,0.0129481814080881,8
3,2.28251018579284,0.469544382856079,1.14115994521111,0.0194564236082236,0.0180593993406184,0.0230886867039971,7
4,2.62815253656146,0.961624402567097,1.76213059830635,0.0386792590915642,0.0369855539448883,0.0430828924729213,7
5,2.18172631062612,0.650904404810139,1.28921282155408,0.0212189855293178,0.0250347848003899,0.0112979074245304,3
6,2.3652743042502,0.58487653197605,1.27411381366921,0.028992267197376,0.0224952512298481,0.0458845087129488,2
7,2.28943074520449,1.14423123062628,1.81708204322758,0.0384764459993994,0.0440088934856262,0.0240920825352096,7
8,2.20460733771448,0.524216121968734,1.22308064178115,0.0269154849773744,0.020162158537259,0.0444741337216745,6
9,2.377959253727,0.911980730369703,1.59209636350506,0.0376246516575594,0.0350761819372963,0.0442506729302436,9
10,2.53269213914598,0.582097784341586,1.36183516040792,0.0282558719380466,0.0223883763208302,0.043511360542809,2
11,2.21910410675455,0.680204017381133,1.34740005137323,0.0258423667259986,0.0261616929761974,0.0250121184754818,4
12,2.34416032516422,0.70751814166227,1.40661008838951,0.0320042076357809,0.0272122362177797,0.0444633333225843,7
13,2.31772718956761,0.651941502505964,1.34607690736633,0.0232113803226491,0.0250746731733063,0.0183668189109404,7
14,2.63053390031431,0.908161342835908,1.71988751586437,0.0274248637116265,0.0349292824167657,0.00791337507826465,6
15,2.36894204058563,0.487927601649235,1.19375813442691,0.0229822796942992,0.0187664462172783,0.0339434467345537,1
16,2.06094976885552,0.696950689279798,1.32735555685893,0.0331559969006104,0.0268057957415307,0.0496665199142175,7
17,2.71121875398542,0.567250945690889,1.38887209593329,0.0277082335233075,0.0218173440650342,0.043024546114818,5
18,2.30316795116587,0.981820456455973,1.67397735130918,0.0349642456422667,0.0377623252483067,0.0276892386665629,7
19,2.12382628448016,0.686744342737867,1.32948938019822,0.0286187813869119,0.0264132439514564,0.0343531787190963,2
20,2.38575546734232,0.739492208127823,1.44927374637804,0.0392744419498189,0.0284420080049163,0.0674387702065656,8
21,2.25114361547368,0.424171879564127,1.11771240196096,0.0245762409400254,0.0163143030601587,0.0460572794276785,2
22,2.41535551761922,0.820957200093052,1.52042479257479,0.0256110720135846,0.0315752769266558,0.0101041392395995,7
23,2.06329692552466,0.747243694024452,1.35084106835405,0.0347615522851102,0.0287401420778636,0.0504172188239516,5
24,2.42184991865713,1.06696233665692,1.77768402751952,0.0362477500924829,0.0410370129483429,0.023795666667247,5
25,2.30158179896739,0.863034811766258,1.57754984780813,0.0358278018745149,0.0331936466063945,0.0426766055716281,7
26,2.01899935509614,0.820445539762977,1.43273832807135,0.0351112238400496,0.0315555976831914,0.0443558518478807,6
27,2.37816988436711,0.62933889809028,1.32677026522592,0.0299802522436285,0.0242053422342415,0.0449950182680346,7
28,2.42616792292518,0.661861853372981,1.39617251424296,0.0226407838006088,0.0254562251297301,0.0153206363448937,6
29,2.29047003430537,1.00479875150517,1.70737007340549,0.0311270117361978,0.0386461058271219,0.0115773670997951,4
30,2.56503591970988,0.665289463590707,1.42633689882344,0.0290195421039992,0.0255880562919503,0.0379414052153264,6
