"arm","mae_all","mae_true_nonzero","mae_true_zero","global_strength_true","global_strength_est","n_phantom_edges_gt_01"
"baseline",0.0611148411998485,0.0535825099556049,0.0640118916784037,3.05,4.60424512163014,7
"naive",0.084368000634621,0.0914453015684675,0.0816459618139108,3.05,6.08724802284636,8
"adjusted",0.0369903124313105,0.034529880291302,0.0379366324851599,3.05,4.19014516563111,2
