"rep","arm","global_strength_est","total_coupling_est","abs_strength_true_edges","spurious_abs_coupling","mae_all","mae_true_nonzero","mae_true_zero","n_phantom_edges_gt_01"
1,"baseline",4.35630276122793,3.13919602588386,2.92221748883243,1.4340852723955,0.0535315690025007,0.0493051211694525,0.0551571258613654,4
1,"naive",5.22745515688624,4.97895537534917,3.53171969758664,1.69573545929959,0.0640886260099538,0.0611455077058744,0.0652205945884459,5
1,"adjusted",3.9420357206673,2.86828648284824,2.89953540716649,1.04250031350082,0.0360022840348476,0.02535819117537,0.0400961659038775,0
2,"baseline",4.51196199455254,3.12040429366224,2.87348485894228,1.63847713561025,0.0605262558416759,0.0540468074690079,0.0630183513696251,6
2,"naive",5.73793035622046,5.14113836306167,3.61750661586641,2.12042374035405,0.0761199951426662,0.0619896084781932,0.0815547592443866,10
2,"adjusted",4.10522386670498,2.68383048061216,2.88514110643434,1.22008276027064,0.0475138064158803,0.0490414270701051,0.0469262600104092,2
3,"baseline",4.83538401512283,2.9639017996347,3.29849630830404,1.53688770681879,0.0567199357261295,0.0505029979321868,0.0591110656468766,7
3,"naive",5.33300249467726,5.27530032520593,3.68319132601218,1.64981116866508,0.0645824798122727,0.0675158104576733,0.0634542757178878,8
3,"adjusted",4.19184254946615,2.99279013941309,3.01157576365715,1.180266785809,0.045126056204049,0.0444271237536762,0.0453948763772694,1
4,"baseline",4.56261497430505,3.52502276060365,3.14481795523814,1.41779701906691,0.0552507844905728,0.0571231222593709,0.0545306545794966,2
4,"naive",6.48822241852574,6.16222267411901,3.84993849941687,2.63828391910887,0.0976901716221183,0.0878562259287392,0.101472458427264,13
4,"adjusted",4.72609182021939,3.53407013755755,3.04943230367762,1.67665951654177,0.0590109125305541,0.0447733334558179,0.0644869044823758,6
5,"baseline",4.6585551009481,3.258869328986,3.25819190244177,1.40036319850633,0.0523127361675839,0.0482895303526689,0.0538601230194743,3
5,"naive",5.56033366479089,4.81188568350319,3.48876679271056,2.07156687208033,0.0774698052431613,0.0717346116673478,0.0796756489261665,7
5,"adjusted",4.27112084323681,2.63015937287707,2.85045837596662,1.42066246727019,0.0562508197138435,0.0604367042428174,0.0546408641257765,4
