"arm","global_strength_est_mean","global_strength_est_se","total_coupling_est_mean","total_coupling_est_se","abs_strength_true_edges_mean","abs_strength_true_edges_se","spurious_abs_coupling_mean","spurious_abs_coupling_se","mae_all_mean","mae_all_se","mae_true_nonzero_mean","mae_true_nonzero_se","mae_true_zero_mean","mae_true_zero_se","n_phantom_edges_gt_01_mean","n_phantom_edges_gt_01_se"
"baseline",4.30797012213151,0.0422940810823523,3.00963414750833,0.0691870357487147,3.01717344122723,0.0325018846978476,1.29079668090428,0.0375985618239067,0.0483707827956458,0.00126218328141467,0.0450551499738966,0.00235971999490593,0.0496460261886262,0.00144609853168872,3.33333333333333,0.343522434253207
"naive",5.76077140388682,0.0575187072935311,5.45866967422885,0.0593410874153434,3.74113675287523,0.0313450591265563,2.01963465101158,0.0427680107677911,0.077207100238888,0.00166695988417913,0.0759820957588383,0.00316967137508032,0.0776782558081378,0.00164492349106889,8.2,0.399424873893774
"adjusted",4.32093345857077,0.059848581812147,3.12441013193437,0.0639603758036632,3.0411377206309,0.032765046493469,1.27979573793986,0.0387258974282431,0.0473270352680805,0.00135041125463518,0.0423977531711034,0.00221716738548701,0.049222912997687,0.00148945759339396,2.7,0.303807258923668
