sdP,d_raw_mean,d_raw_sem,d_adj_mean,d_adj_sem,gs_raw_lo_mean,gs_raw_lo_sem,gs_raw_hi_mean,gs_raw_hi_sem,gs_adj_lo_mean,gs_adj_lo_sem,gs_adj_hi_mean,gs_adj_hi_sem,mae_raw_lo_mean,mae_raw_lo_sem,mae_raw_hi_mean,mae_raw_hi_sem,mae_adj_lo_mean,mae_adj_lo_sem,mae_adj_hi_mean,mae_adj_hi_sem,m_low_mean,m_low_sem,m_high_mean,m_high_sem
0.0,0.12453735521239898,0.003800392324183547,0.12454249276668604,0.003804369068130646,0.12009980838924346,0.003731522714567578,0.12178642865679946,0.002429009436236266,0.12009554112333541,0.003735202269535323,0.12174131442400753,0.002427662716807011,0.10656266443228432,0.003285907231454518,0.06573003848412245,0.0016056877218638239,0.10658167635264393,0.003288441280772295,0.06572152595129478,0.001607741467765898,0.184745,0.0005169058586112822,0.56474,0.0007251928003649403
0.1,0.12491867108140511,0.002718749750731013,0.1254856540546364,0.002666999909654183,0.13292725138693104,0.00412650074996531,0.13563872771263616,0.0019358827080195793,0.12086956752905761,0.0042877315359307645,0.12242603454897201,0.00205948728118203,0.1011577315796972,0.002698777782604989,0.07030366992493381,0.0017628795036437595,0.10120819431350626,0.0025569656593017755,0.06945551795611643,0.0017896304969347195,0.1856016666666667,0.0005902292722914827,0.5659416666666667,0.00064401793423542
0.3,0.12340076900821376,0.0031166666782829313,0.1253470406947741,0.002977442571773923,0.21571318030523884,0.004765119134542901,0.21020153405768857,0.0019000323713630823,0.12167918178382281,0.004509002029106976,0.12294651470843714,0.0020225893089586863,0.1294104327244581,0.002932567797519996,0.10347514977201318,0.002054111093011042,0.1044385758760611,0.0026728299111464368,0.06903408758510275,0.0018468701451401376,0.19223666666666667,0.0005328568273630672,0.562625,0.0006736576691261034
0.5,0.12115664388107188,0.0027858492282289813,0.1257390117260791,0.003330931096606006,0.33113265626608696,0.003008431228553662,0.3059368057394323,0.0013061472972294888,0.1221485744500007,0.003073585956061594,0.12182426433038816,0.0022843226878269847,0.21560797117186337,0.0024032239936323803,0.18631760875316905,0.0013983847287681928,0.10370880894464456,0.002270959198369561,0.07066303719080233,0.001672087181533819,0.20465333333333333,0.0006038522566760186,0.55712,0.0007338201101244018
0.75,0.11499582036312263,0.0026774816728309526,0.11978056403244967,0.003252866018004939,0.44199219921054844,0.001972634802405933,0.4120557161776703,0.001497808342333644,0.12081774657819473,0.0039039586360539525,0.12118617325380769,0.0030529224342362112,0.3217788913152574,0.0019638863592786357,0.2904096937601306,0.0014994195080525838,0.09353656472625586,0.00297956214099199,0.07744814927694707,0.002322741111826505,0.22561166666666665,0.000763490484751783,0.553145,0.001071137407071372
1.0,0.12787944118720035,0.003679913144376405,0.1332013158905159,0.003889760580352191,0.5218935309631989,0.0018340223362236917,0.48945292325395706,0.001306165320893197,0.11941068210792093,0.003131803789326876,0.1169510541893291,0.003042021387639521,0.4005217642052166,0.0018861106968637944,0.36784360598723104,0.0013028482040163497,0.10186506541231224,0.002714724078830443,0.08252194082347764,0.001699321276664982,0.24756833333333333,0.0008044148417004074,0.54745,0.0008595574910730352
