b,init,mean_late_m,se_late_m,mean_late_P,se_late_P,mean_max_abs_P
0,high,0.2779738562091503,0.0016364257790569827,0.0015524241650587975,0.003551771893577147,0.09715299761950691
0,low,0.2772222222222222,0.001774821180944974,-0.0020221235180568225,0.003856100101662241,0.10121386373158801
0.1,high,0.27908496732026145,0.0015461014072588861,0.007438750268821353,0.0040925215096696355,0.10393248337832399
0.1,low,0.276557734204793,0.001720235344455744,-7.644655948224858e-4,0.004301874231732108,0.10552278731728265
0.2,high,0.27739651416122,0.0018890357655020154,0.012307733971896032,0.004393427030326569,0.1120246814242392
0.2,low,0.27802832244008713,0.001735629034941838,0.006455303161848689,0.004354777893190715,0.11094955776198465
0.30000000000000004,high,0.28326797385620917,0.0018768766588454283,0.02428130497092631,0.004806129879494919,0.11870362415811203
0.30000000000000004,low,0.2745751633986928,0.0019015558601035744,-0.0013811325234105098,0.004671524266326347,0.11088428918081153
0.4,high,0.28183006535947713,0.0020962420269432062,0.03257500025782169,0.005262682712600974,0.12659514168053895
0.4,low,0.2762091503267974,0.0017105382543329138,-0.0014265590614919064,0.004757658936411262,0.11471574924602546
0.5,high,0.2866666666666667,0.0020414981401114607,0.06758460612657846,0.005660168956494011,0.14656567233824924
0.5,low,0.2749346405228758,0.0019101778759560626,-0.005067438454996962,0.0059365622056394285,0.1284934118771469
0.6000000000000001,high,0.3015904139433551,0.002175061365104387,0.1228641820148889,0.007218165157243372,0.19920716355060553
0.6000000000000001,low,0.2758496732026144,0.00187501508870102,-0.0026629437706518766,0.005906264280882598,0.1269060982102601
0.7000000000000001,high,0.3223747276688453,0.0024630650335079954,0.23429004064461495,0.008370785809972072,0.3056052320406148
0.7000000000000001,low,0.27453159041394337,0.0022094142719413954,-0.016039316835536558,0.007456256253989634,0.14623037308042716
0.8,high,0.35642701525054465,0.0029705187095495915,0.4033109313522539,0.01132272306048237,0.4797166330529002
0.8,low,0.2755446623093682,0.0022573102894093743,-0.015878211566913752,0.00861152154353943,0.16484987050240232
0.9,high,0.42871459694989106,0.003584352571066181,0.7544345286309434,0.014455021830044863,0.8294630669655879
0.9,low,0.2724074074074074,0.0024745362563046254,-0.03121193155985725,0.009795195765138109,0.18082819992384172
1,high,0.5472657952069717,0.003828740969086041,1.318987479929419,0.016953837681486304,1.3930487970876004
1,low,0.27480392156862743,0.0028051519645975495,-0.031536884495809554,0.012625828961190197,0.20827070324327468
1.1,high,0.6849782135076252,0.002668070354086766,2.0844982538427232,0.014793981076293816,2.175944883337957
1.1,low,0.26420479302832245,0.0030717603190581286,-0.07592047636333728,0.014242373155275486,0.24454103229061802
1.2000000000000002,high,0.7887363834422658,0.001936050696396459,2.8654513095734164,0.012454224483604691,2.971554494194976
1.2000000000000002,low,0.2637037037037037,0.0038610655755058547,-0.08798939078230388,0.019285776649486632,0.3116587217102652
1.3,high,0.8495751633986928,0.0013009064925038163,3.525247726428184,0.008770166209858784,3.6378346611990553
1.3,low,0.24955337690631807,0.004532417687742518,-0.17737766795473142,0.024017301643760893,0.40229194097138965
1.4000000000000001,high,0.890838779956427,9.93400559141769e-4,4.113060330989116,0.006768246613479951,4.2203759711012
1.4000000000000001,low,0.2254139433551198,0.003999494521128221,-0.32661006711020923,0.023661253061956194,0.4839816464294439
1.5,high,0.918921568627451,9.868336525284483e-4,4.6420193823355325,0.005744398682060894,4.74040891774455
1.5,low,0.21842047930283223,0.005784713694582142,-0.41831051144706394,0.03375152069492048,0.6575142511914669
