b,separation_m,se_separation_m,separation_P,se_separation_P,max_abs_P,regime_flag
0,7.516339869281054e-4,0.002412019967367285,0.0035745476831156196,0.0051999126959251,0.25016503210467905,convergent
0.1,0.002461873638344231,0.0022175671357402378,0.007058185092163176,0.00598068899607951,0.25114742637149473,convergent
0.2,-5.664488017429186e-4,0.002595160417687876,0.0029036180968845648,0.0060803498108282766,0.2949589654712468,convergent
0.30000000000000004,0.006830065359477129,0.0025506363793381132,0.016375159879692933,0.005763692132706829,0.3302133816193511,convergent
0.4,0.0028431372549019575,0.002712141289269281,0.01885628475040509,0.006183116673732751,0.3112559779828831,convergent
0.5,0.008202614379084962,0.0025929415936596944,0.046587225072713435,0.006932003079278528,0.3453422066258533,convergent
0.6000000000000001,0.017668845315904146,0.002790963599159083,0.08115462935330718,0.008173604447210912,0.528736028748835,convergent
0.7000000000000001,0.03457516339869281,0.0031048775627789396,0.1744086338090855,0.009679792880592408,0.6861857021017991,convergent
0.8,0.0627995642701525,0.0034637509466492805,0.3190921387475233,0.012660575964664477,0.9717312903539863,convergent
0.9,0.13221132897603485,0.004320124141466274,0.6487309538231224,0.016239534552825653,1.3025259537725689,convergent
1,0.23968409586056644,0.004531830355339704,1.165611743861812,0.019849505701230723,1.9861203159726684,history-dependent
1.1,0.3729193899782135,0.00378435932291588,1.8966030958502749,0.017912075063830555,2.7031657648088814,history-dependent
1.2000000000000002,0.45748366013071895,0.004173876600538988,2.5810598281489834,0.02073636174773135,3.3719825036128133,history-dependent
1.3,0.4980936819172113,0.00578245453700526,3.130025097648725,0.026979348706759363,3.9146814876654736,history-dependent
1.4000000000000001,0.5192592592592592,0.006159507119237529,3.644430232355869,0.029122035953116288,4.43503418893502,history-dependent
1.5,0.49064270152505446,0.009362235873868379,3.864745334301614,0.048092925004784265,5.00150453845539,history-dependent
