"topology","n_per_grp","threshold_gap","reject_nwinv","reject_glstr","fp_edge_05","fp_edge_bonf","act_low","act_high","edge_low","edge_high","nwinv_flag","edge_flag"
"dense",200,0.4,0.05,0.01,0.00545454545454546,0,0.198704166666667,0.361720833333333,0.00508954546659496,0.00943784288666758,"nominal","nominal"
"dense",200,0.8,0,0,0,0,0.199283333333333,0.606729166666667,0.0042644654654606,0.0110779373421387,"nominal","nominal"
"dense",200,1.2,0,0.01,0,0,0.1976875,0.7875875,0.00460454344003503,0.00551554358943757,"nominal","nominal"
"dense",500,0.4,0.01,0,0.00348484848484849,0,0.197488333333333,0.362905,0.00485384669684815,0.0259863216782485,"nominal","nominal"
"dense",500,0.8,0,0.05,0.00196969696969697,0,0.197936666666667,0.607833333333333,0.00535221533239896,0.0301497597841879,"nominal","nominal"
"dense",500,1.2,0,0.02,0.000151515151515151,0,0.197316666666667,0.786296666666667,0.00641858253973569,0.00663272500624494,"nominal","nominal"
"dense",1000,0.4,0.14,0.9,0.0940909090909091,0,0.198300833333333,0.364045,0.00794886892324089,0.118532038753965,"mild inflation","mild inflation"
"dense",1000,0.8,0.06,1,0.105909090909091,0,0.197669166666667,0.6068175,0.00695164190214037,0.139922015262076,"nominal","mild inflation"
"dense",1000,1.2,0,0.06,0,0,0.198020833333333,0.78677,0.00814658237119922,0.0120983310969782,"nominal","nominal"
"modular",200,0.4,0.05,0.05,0.005,0,0.14765,0.224854166666667,0.00287757432139627,0.00321075155587894,"nominal","nominal"
"modular",200,0.8,0.04,0.01,0.0046969696969697,0,0.148170833333333,0.341854166666667,0.00246689006030204,0.00188421194896938,"nominal","nominal"
"modular",200,1.2,0.01,0.01,0.00272727272727273,0,0.148895833333333,0.491483333333333,0.00214560513136324,0.00255516205191979,"nominal","nominal"
"modular",500,0.4,0.02,0.02,0.00424242424242424,0,0.147906666666667,0.225593333333333,0.001334709424209,0.00214338586184235,"nominal","nominal"
"modular",500,0.8,0.03,0.01,0.00409090909090909,0,0.1479,0.340988333333333,0.00147692868282683,0.00338971507567429,"nominal","nominal"
"modular",500,1.2,0,0,0.000151515151515152,0,0.148323333333333,0.48884,0.00175572075387448,0.00379359292147877,"nominal","nominal"
"modular",1000,0.4,0.03,0.06,0.0046969696969697,0,0.14711,0.225805,0.00185431155208438,0.00325907272304677,"nominal","nominal"
"modular",1000,0.8,0,0,0.000606060606060606,0,0.147059166666667,0.341588333333333,0.00149304573005391,0.00651056867760022,"nominal","nominal"
"modular",1000,1.2,0,0,0.000151515151515152,0,0.1473325,0.489664166666667,0.00173911253414947,0.0100482620402194,"nominal","nominal"
"ring",200,0.4,0.03,0.03,0.0046969696969697,0,0.127245833333333,0.182366666666667,0.00204569240292174,0.00143389442651266,"nominal","nominal"
"ring",200,0.8,0.09,0.09,0.00590909090909091,0,0.127829166666667,0.256454166666667,0.00264915298254795,0.000303334373434218,"mild inflation","nominal"
"ring",200,1.2,0.05,0.04,0.00439393939393939,0,0.127833333333333,0.350645833333333,0.00167671161399242,0.000466880981571026,"nominal","nominal"
"ring",500,0.4,0.02,0.03,0.00621212121212121,0,0.126655,0.182095,0.000680851829405983,0.000934268816046808,"nominal","nominal"
"ring",500,0.8,0.02,0.03,0.00636363636363636,0,0.126806666666667,0.256375,0.000868913370501457,0.000719362241734189,"nominal","nominal"
"ring",500,1.2,0.01,0,0.00590909090909091,0,0.127113333333333,0.349375,0.0013888237904084,0.00102249692510838,"nominal","nominal"
"ring",1000,0.4,0.01,0.01,0.00621212121212121,0,0.126785,0.182196666666667,0.000623473979475872,0.000820309482371355,"nominal","nominal"
"ring",1000,0.8,0.03,0.03,0.00560606060606061,0,0.12662,0.256649166666667,0.00140381743604963,0.00174662298830675,"nominal","nominal"
"ring",1000,1.2,0.02,0,0.00333333333333333,0,0.126830833333333,0.349339166666667,0.00147554925700211,0.00153283932750624,"nominal","nominal"
